Year"  "Score" 
968   86 
970   17 
970   73 
971   40 
973   98 
973   88 
974   97 
976   41 
976   99 
977   47 
977   67 
978   93 
980   97 
981   75 
983   90 
984   89 
984   60 
985   98 
986   65 
987  100 
987   80 
987   78 
988   96 
989   64 
989   47 
990   88 
990   29 
990   96 
991   76 
991   69 
991   65 
991   71 
992   87 
992   67 
993   75 
993   78 
993   96 
994   39 
995   80 
995   86 
996   74 
996   38 
996   80 
997   85 
997   87 
997   72 
998   68 
998   38 
999   69 
999   43 
000   43 
000   84 
000   41 
001   73 
001   33 
002   48 
002   27 
003    4 
004   35 
004   38 
005    4 
005   46 
005   13 
006   54 
007   21 
007   76 
008   19 
008   51 
009   46 
010   72 
010   10 
010   50 
011   25 
011    7 
011   70 
012   92 
012   51 
012   29 
013   46 
013    7 
013   29 
013   11 
014    9 
015   60 
015   26 
015   61 
016   11 
0
